Province	2017	Comparable	Urban	Rural	Ref
Mainland China	1382710000	 India	831370000	564010000	
Guangdong	111690000	 Philippines	78020000	33670000	
Shandong	100060000	 Philippines	60620000	39440000	
Henan	95590000	 Vietnam	47950000	47640000	
Sichuan	83020000	 Germany	42170000	40850000	
Jiangsu	80290000	 Turkey	55210000	25080000	
Hebei	75200000	 Turkey	41360000	33830000	
Hunan	68600000	 France	37470000	31130000	
Anhui	62550000	 Italy	33460000	29090000	
Hubei	59020000	 Italy	35000000	24020000	
Zhejiang	56570000	 South Africa	38470000	18100000	
Guangxi	48850000	 South Korea	24040000	24810000	
Yunnan	48010000	 South Korea	22410000	25590000	
Jiangxi	46220000	 Spain	25240000	20980000	
Liaoning	43690000	 Algeria	29490000	14200000	
Fujian	39110000	 Iraq	25340000	13770000	
Shaanxi	38350000	 Poland	21780000	16570000	
Heilongjiang	37890000	 Canada	22500000	15380000	
Shanxi	36820000	 Canada	21230000	15790000	
Guizhou	35550000	 Morocco	16480000	19320000	
Chongqing	30750000	 Ghana	19710000	11050000	
Jilin	27170000	 Mozambique	15390000	11780000	
Gansu	26260000	 Ivory Coast	12180000	14080000	
Inner Mongolia	25290000	 Australia	15680000	9610000	
Xinjiang	24450000	 Cameroon	12070000	12380000	
Shanghai	24180000	 Cameroon	21210000	2970000	
Beijing	21710000	 Sri Lanka	18780000	2930000	
Tianjin	15570000	 Somalia	12910000	2660000	
Hainan	9170000	 Honduras	5370000	3890000	
Hong Kong	7335384	 Togo	7335384	-	
Ningxia	6820000	 El Salvador	3950000	2870000	
Qinghai	5980000	 Turkmenistan	3170000	2810000	
Tibet	3370000	 Bosnia and Herzegovina	1040000	2330000	
Macau	644900	 Montenegro	644900	-	
Republic of China (Taiwan)	23562318	 Cameroon	17861136	5701182	
