date,province,percentage,scale
2020-01-01,Hubei,72.23,2.499158
2020-01-01,Henan,4.13,0.142898
2020-01-01,Hunan,3.09,0.106914
2020-01-01,Guangdong,2.61,0.090306
2020-01-01,Anhui,1.94,0.067124
2020-01-01,Jiangxi,1.88,0.065048
2020-01-01,Jiangsu,1.58,0.054668
2020-01-01,Zhejiang,1.39,0.048094
2020-01-01,Beijing,1.28,0.044288
2020-01-01,Shanghai,1.04,0.035983999999999995
2020-01-01,Chongqing,0.85,0.029410000000000002
2020-01-01,Shandong,0.84,0.029064
2020-01-01,Sichuan,0.83,0.028718
2020-01-01,Hebei,0.68,0.023528
2020-01-01,Shaanxi,0.67,0.023182
2020-01-01,Guizhou,0.64,0.022144
2020-01-01,Fujian,0.61,0.021106
2020-01-01,Yunnan,0.54,0.018684
2020-01-01,Guangxi,0.52,0.017991999999999998
2020-01-01,Hainan,0.45,0.015570000000000002
2020-01-01,Shanxi,0.41,0.014185999999999997
2020-01-01,Liaoning,0.33,0.011418
2020-01-01,Heilongjiang,0.22,0.007612000000000001
2020-01-01,Gansu,0.21,0.007266
2020-01-01,Tianjin,0.2,0.00692
2020-01-01,Xinjiang,0.18,0.006228
2020-01-01,Jilin,0.13,0.004497999999999999
2020-01-01,Inner Mongolia,0.12,0.0041519999999999994
2020-01-01,Ningxia,0.06,0.0020759999999999997
2020-01-01,Qinghai,0.05,0.00173
2020-01-01,Tibet,0.01,0.000346
2020-01-02,Hubei,61.33,2.158816
2020-01-02,Henan,4.93,0.173536
2020-01-02,Guangdong,3.76,0.13235199999999997
2020-01-02,Hunan,3.74,0.13164800000000002
2020-01-02,Anhui,2.58,0.090816
2020-01-02,Jiangxi,2.38,0.08377599999999999
2020-01-02,Jiangsu,2.28,0.080256
2020-01-02,Zhejiang,2.0,0.0704
2020-01-02,Beijing,1.9,0.06688
2020-01-02,Sichuan,1.36,0.047872000000000005
2020-01-02,Shanghai,1.35,0.04752000000000001
2020-01-02,Shandong,1.35,0.04752000000000001
2020-01-02,Chongqing,1.15,0.04048
2020-01-02,Fujian,1.03,0.036256000000000004
2020-01-02,Shaanxi,0.99,0.034848
2020-01-02,Guizhou,0.99,0.034848
2020-01-02,Hebei,0.98,0.034496
2020-01-02,Guangxi,0.93,0.032736
2020-01-02,Yunnan,0.8,0.02816
2020-01-02,Hainan,0.67,0.023584
2020-01-02,Shanxi,0.66,0.023232
2020-01-02,Gansu,0.46,0.016192
2020-01-02,Liaoning,0.43,0.015136
2020-01-02,Xinjiang,0.34,0.011968000000000001
2020-01-02,Heilongjiang,0.32,0.011264000000000001
2020-01-02,Tianjin,0.25,0.0088
2020-01-02,Inner Mongolia,0.21,0.007391999999999999
2020-01-02,Jilin,0.18,0.006336
2020-01-02,Ningxia,0.14,0.004928000000000001
2020-01-02,Qinghai,0.11,0.0038720000000000004
2020-01-02,Tibet,0.03,0.0010559999999999999
2020-01-03,Hubei,67.24,3.711648
2020-01-03,Henan,4.55,0.25116
2020-01-03,Hunan,3.73,0.205896
2020-01-03,Guangdong,2.99,0.165048
2020-01-03,Anhui,2.26,0.12475199999999999
2020-01-03,Jiangxi,2.0,0.1104
2020-01-03,Jiangsu,1.92,0.10598399999999998
2020-01-03,Zhejiang,1.64,0.09052799999999998
2020-01-03,Beijing,1.58,0.087216
2020-01-03,Shanghai,1.19,0.065688
2020-01-03,Shandong,1.07,0.059064000000000005
2020-01-03,Chongqing,1.03,0.056856
2020-01-03,Sichuan,0.99,0.05464799999999999
2020-01-03,Guizhou,0.89,0.049128
2020-01-03,Fujian,0.84,0.04636799999999999
2020-01-03,Hebei,0.77,0.042504
