date,scale
2020-01-01,3.46
2020-01-02,3.52
2020-01-03,5.52
2020-01-04,6.10
2020-01-05,5.32
2020-01-06,5.60
2020-01-07,6.41
2020-01-08,7.34
2020-01-09,8.14
2020-01-10,6.62
2020-01-11,7.56
2020-01-12,6.22
2020-01-13,5.76
2020-01-14,5.46
2020-01-15,5.91
2020-01-16,6.00
2020-01-17,6.44
2020-01-18,7.71
2020-01-19,7.41
2020-01-20,8.31
2020-01-21,10.74
2020-01-22,11.84
2020-01-23,11.14
2020-01-24,3.89
2020-01-25,1.30
2020-01-26,0.66
2020-01-27,0.43
2020-01-28,0.32
2020-01-29,0.26
2020-01-30,0.24
2020-01-31,0.24
2020-02-01,0.24
2020-02-02,0.46
2020-02-03,0.21
2020-02-04,0.23
2020-02-05,0.28
2019-01-01,5.05
2019-01-02,4.06
2019-01-03,4.00
2019-01-04,3.72
2019-01-05,3.99
2019-01-06,4.22
2019-01-07,4.43
2019-01-08,5.29
2019-01-09,4.58
2019-01-10,4.57
2019-01-11,4.69
2019-01-12,4.81
2019-01-13,4.86
2019-01-14,5.66
2019-01-15,7.04
2019-01-16,6.49
2019-01-17,6.77
2019-01-18,7.03
2019-01-19,7.11
2019-01-20,7.48
2019-01-21,8.71
2019-01-22,9.60
2019-01-23,9.22
2019-01-24,7.38
2019-01-25,5.54
2019-01-26,6.54
2019-01-27,5.64
2019-01-28,4.70
2019-01-29,4.27
2019-01-30,3.72
2019-01-31,3.50
2019-02-01,3.28
2019-02-02,3.40
2019-02-03,3.37
2019-02-04,3.45
2019-02-05,3.99
